2026-06-17 01:55:27 | INFO    | src.extract |   батч 931/2000, всего активаций: 111417
2026-06-17 01:55:29 | INFO    | src.extract |   батч 936/2000, всего активаций: 112013
2026-06-17 01:55:30 | INFO    | src.extract |   батч 941/2000, всего активаций: 112626
2026-06-17 01:55:32 | INFO    | src.extract |   батч 946/2000, всего активаций: 113210
2026-06-17 01:55:33 | INFO    | src.extract |   батч 951/2000, всего активаций: 113790
2026-06-17 01:55:35 | INFO    | src.extract |   батч 956/2000, всего активаций: 114356
2026-06-17 01:55:36 | INFO    | src.extract |   батч 961/2000, всего активаций: 114925
2026-06-17 01:55:37 | INFO    | src.extract |   батч 966/2000, всего активаций: 115550
2026-06-17 01:55:39 | INFO    | src.extract |   батч 971/2000, всего активаций: 116126
2026-06-17 01:55:40 | INFO    | src.extract |   батч 976/2000, всего активаций: 116662
2026-06-17 01:55:42 | INFO    | src.extract |   батч 981/2000, всего активаций: 117251
2026-06-17 01:55:43 | INFO    | src.extract |   батч 986/2000, всего активаций: 117789
2026-06-17 01:55:45 | INFO    | src.extract |   батч 991/2000, всего активаций: 118360
2026-06-17 01:55:46 | INFO    | src.extract |   батч 996/2000, всего активаций: 118952
2026-06-17 01:55:47 | INFO    | src.extract |   батч 1001/2000, всего активаций: 119500
2026-06-17 01:55:49 | INFO    | src.extract |   батч 1006/2000, всего активаций: 120038
2026-06-17 01:55:50 | INFO    | src.extract |   батч 1011/2000, всего активаций: 120594
2026-06-17 01:55:52 | INFO    | src.extract |   батч 1016/2000, всего активаций: 121126
2026-06-17 01:55:53 | INFO    | src.extract |   батч 1021/2000, всего активаций: 121640
2026-06-17 01:55:54 | INFO    | src.extract |   батч 1026/2000, всего активаций: 122178
2026-06-17 01:55:56 | INFO    | src.extract |   батч 1031/2000, всего активаций: 122675
2026-06-17 01:55:57 | INFO    | src.extract |   батч 1036/2000, всего активаций: 123228
2026-06-17 01:55:58 | INFO    | src.extract |   батч 1041/2000, всего активаций: 123706
2026-06-17 01:56:00 | INFO    | src.extract |   батч 1046/2000, всего активаций: 124290
2026-06-17 01:56:02 | INFO    | src.extract |   батч 1051/2000, всего активаций: 124869
2026-06-17 01:56:03 | INFO    | src.extract |   батч 1056/2000, всего активаций: 125367
2026-06-17 01:56:04 | INFO    | src.extract |   батч 1061/2000, всего активаций: 125956
2026-06-17 01:56:05 | INFO    | src.extract |   батч 1066/2000, всего активаций: 126472
2026-06-17 01:56:07 | INFO    | src.extract |   батч 1071/2000, всего активаций: 127005
2026-06-17 01:56:08 | INFO    | src.extract |   батч 1076/2000, всего активаций: 127538
2026-06-17 01:56:10 | INFO    | src.extract |   батч 1081/2000, всего активаций: 128033
2026-06-17 01:56:11 | INFO    | src.extract |   батч 1086/2000, всего активаций: 128579
2026-06-17 01:56:12 | INFO    | src.extract |   батч 1091/2000, всего активаций: 129122
2026-06-17 01:56:14 | INFO    | src.extract |   батч 1096/2000, всего активаций: 129700
2026-06-17 01:56:15 | INFO    | src.extract |   батч 1101/2000, всего активаций: 130249
2026-06-17 01:56:16 | INFO    | src.extract |   батч 1106/2000, всего активаций: 130771
2026-06-17 01:56:18 | INFO    | src.extract |   батч 1111/2000, всего активаций: 131306
2026-06-17 01:56:19 | INFO    | src.extract |   батч 1116/2000, всего активаций: 131820
2026-06-17 01:56:20 | INFO    | src.extract |   батч 1121/2000, всего активаций: 132395
2026-06-17 01:56:22 | INFO    | src.extract |   батч 1126/2000, всего активаций: 132872
2026-06-17 01:56:23 | INFO    | src.extract |   батч 1131/2000, всего активаций: 133435
2026-06-17 01:56:24 | INFO    | src.extract |   батч 1136/2000, всего активаций: 133952
2026-06-17 01:56:26 | INFO    | src.extract |   батч 1141/2000, всего активаций: 134505
2026-06-17 01:56:27 | INFO    | src.extract |   батч 1146/2000, всего активаций: 135041
2026-06-17 01:56:28 | INFO    | src.extract |   батч 1151/2000, всего активаций: 135553
2026-06-17 01:56:30 | INFO    | src.extract |   батч 1156/2000, всего активаций: 136063
2026-06-17 01:56:31 | INFO    | src.extract |   батч 1161/2000, всего активаций: 136595
2026-06-17 01:56:32 | INFO    | src.extract |   батч 1166/2000, всего активаций: 137102
2026-06-17 01:56:34 | INFO    | src.extract |   батч 1171/2000, всего активаций: 137651
2026-06-17 01:56:35 | INFO    | src.extract |   батч 1176/2000, всего активаций: 138162
2026-06-17 01:56:36 | INFO    | src.extract |   батч 1181/2000, всего активаций: 138701
2026-06-17 01:56:38 | INFO    | src.extract |   батч 1186/2000, всего активаций: 139208
2026-06-17 01:56:39 | INFO    | src.extract |   батч 1191/2000, всего активаций: 139751
2026-06-17 01:56:40 | INFO    | src.extract |   батч 1196/2000, всего активаций: 140291
2026-06-17 01:56:42 | INFO    | src.extract |   батч 1201/2000, всего активаций: 140843
2026-06-17 01:56:43 | INFO    | src.extract |   батч 1206/2000, всего активаций: 141407
2026-06-17 01:56:45 | INFO    | src.extract |   батч 1211/2000, всего активаций: 141999
2026-06-17 01:56:46 | INFO    | src.extract |   батч 1216/2000, всего активаций: 142558
2026-06-17 01:56:48 | INFO    | src.extract |   батч 1221/2000, всего активаций: 143145
2026-06-17 01:56:49 | INFO    | src.extract |   батч 1226/2000, всего активаций: 143778
2026-06-17 01:56:51 | INFO    | src.extract |   батч 1231/2000, всего активаций: 144354
2026-06-17 01:56:52 | INFO    | src.extract |   батч 1236/2000, всего активаций: 144965
2026-06-17 01:56:54 | INFO    | src.extract |   батч 1241/2000, всего активаций: 145570
2026-06-17 01:56:55 | INFO    | src.extract |   батч 1246/2000, всего активаций: 146141
2026-06-17 01:56:57 | INFO    | src.extract |   батч 1251/2000, всего активаций: 146741
2026-06-17 01:56:58 | INFO    | src.extract |   батч 1256/2000, всего активаций: 147332
2026-06-17 01:57:00 | INFO    | src.extract |   батч 1261/2000, всего активаций: 147917
2026-06-17 01:57:01 | INFO    | src.extract |   батч 1266/2000, всего активаций: 148512
2026-06-17 01:57:03 | INFO    | src.extract |   батч 1271/2000, всего активаций: 149139
2026-06-17 01:57:04 | INFO    | src.extract |   батч 1276/2000, всего активаций: 149740
2026-06-17 01:57:06 | INFO    | src.extract |   батч 1281/2000, всего активаций: 150339
2026-06-17 01:57:07 | INFO    | src.extract |   батч 1286/2000, всего активаций: 150916
2026-06-17 01:57:09 | INFO    | src.extract |   батч 1291/2000, всего активаций: 151542
2026-06-17 01:57:10 | INFO    | src.extract |   батч 1296/2000, всего активаций: 152149
2026-06-17 01:57:12 | INFO    | src.extract |   батч 1301/2000, всего активаций: 152761
2026-06-17 01:57:13 | INFO    | src.extract |   батч 1306/2000, всего активаций: 153357
2026-06-17 01:57:15 | INFO    | src.extract |   батч 1311/2000, всего активаций: 153952
2026-06-17 01:57:16 | INFO    | src.extract |   батч 1316/2000, всего активаций: 154553
2026-06-17 01:57:18 | INFO    | src.extract |   батч 1321/2000, всего активаций: 155152
2026-06-17 01:57:19 | INFO    | src.extract |   батч 1326/2000, всего активаций: 155714
2026-06-17 01:57:21 | INFO    | src.extract |   батч 1331/2000, всего активаций: 156298
2026-06-17 01:57:22 | INFO    | src.extract |   батч 1336/2000, всего активаций: 156882
2026-06-17 01:57:24 | INFO    | src.extract |   батч 1341/2000, всего активаций: 157494
2026-06-17 01:57:25 | INFO    | src.extract |   батч 1346/2000, всего активаций: 158089
2026-06-17 01:57:27 | INFO    | src.extract |   батч 1351/2000, всего активаций: 158649
2026-06-17 01:57:28 | INFO    | src.extract |   батч 1356/2000, всего активаций: 159266
