id,cluster
2425,0
2426,43
2427,7
2428,99
2429,59
2430,99
2431,88
2432,85
2433,76
2434,70
2435,74
2436,1
2437,16
2438,43
2439,46
2440,42
2441,3
2442,31
2443,18
2444,8
2445,45
2446,10
2447,46
2448,83
2449,89
2450,87
2451,33
2452,16
2453,1
2454,33
2455,18
2456,69
2457,43
2458,18
2459,59
2460,37
2461,94
2462,0
2463,44
2464,53
2465,97
2466,0
2467,76
2468,73
2469,73
2470,0
2471,43
2472,0
2473,16
2474,17
2475,17
2476,17
2477,17
2478,17
2479,27
2480,0
2481,8
2482,27
2483,92
2484,69
2485,40
2486,3
2487,98
2488,7
2489,7
2490,99
2491,98
2492,15
2493,3
2494,18
2495,59
2496,16
2497,15
2498,18
2500,16
2501,70
2502,10
2503,35
2504,95
2505,1
2506,10
2507,98
2508,59
2509,90
2510,20
2511,91
2512,27
2513,20
2514,70
2515,76
2516,91
2517,41
2518,82
2519,42
2520,85
2521,94
2522,85
2523,13
2524,85
2525,85
2526,20
2527,0
2528,47
2529,11
2530,42
2531,89
2532,85
2533,85
2534,43
2535,59
2536,10
2537,15
2538,43
2539,42
2540,13
2541,20
2542,93
2543,49
2544,59
2545,80
2546,59
2547,85
2548,85
2549,85
2550,59
2551,49
2552,1
2553,47
2554,33
2555,59
2556,59
2557,3
2558,98
2559,85
2560,59
2561,76
2562,69
2563,47
2564,42
2565,82
2566,80
2567,14
2568,33
2569,15
2570,59
2571,69
2572,2
2573,91
2574,59
2575,20
2576,53
2577,53
2578,47
2579,47
2580,47
2581,53
2582,53
2583,28
2584,28
2585,28
2586,28
2587,16
2588,29
2589,34
2590,16
2591,72
2593,13
2594,85
2595,22
2596,85
2597,94
2598,59
2599,59
2600,0
2601,1
2602,82
2603,20
2604,16
2605,42
2606,3
2607,80
2608,45
2609,47
2610,0
2611,89
2612,46
2613,46
2614,46
2615,80
2616,41
2617,41
2618,7
2619,24
2620,24
2621,24
2622,24
2627,81
2628,81
2629,81
2630,81
2631,81
2632,26
2633,81
2634,20
2635,1
2636,16
2637,87
2638,87
2639,15
2640,0
2641,43
2642,59
2643,80
2644,80
2645,96
2646,75
2647,13
2648,80
2649,41
2651,41
2652,41
2653,41
2654,41
2655,41
2656,41
2657,41
2658,41
2659,41
2660,42
2661,59
